Rxn name	Rxn description	Formula	Gene-reaction association	Genes	Subsystem	Reversible	LB	UB
PLIPA1G140pp	Phospholipase A1 phosphatidylglycerol n C140  periplasm 	h2o[p] + pg140[p] --> 2agpg140[p] + h[p] + ttdca[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA1G141pp	Phospholipase A1 phosphatidylglycerol n C141  periplasm 	h2o[p] + pg141[p] --> 2agpg141[p] + h[p] + ttdcea[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA1G160pp	Phospholipase A1 phosphatidylglycerol n C160  periplasm 	h2o[p] + pg160[p] --> 2agpg160[p] + h[p] + hdca[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA1G161pp	Phospholipase A1 phosphatidylglycerol n C161  periplasm 	h2o[p] + pg161[p] --> 2agpg161[p] + h[p] + hdcea[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA1G180pp	Phospholipase A1 phosphatidylglycerol n C180  periplasm 	h2o[p] + pg180[p] --> 2agpg180[p] + h[p] + ocdca[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA1G181pp	Phospholipase A1 phosphatidylglycerol n C181  periplasm 	h2o[p] + pg181[p] --> 2agpg181[p] + h[p] + ocdcea[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2A120pp	Phospholipase A2 phosphatidate n C120  periplasm 	h2o[p] + pa120[p] --> 1ddecg3p[p] + ddca[p] + h[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2A140pp	Phospholipase A2 phosphatidate n C140  periplasm 	h2o[p] + pa140[p] --> 1tdecg3p[p] + h[p] + ttdca[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2A141pp	Phospholipase A2 phosphatidate n C141  periplasm 	h2o[p] + pa141[p] --> 1tdec7eg3p[p] + h[p] + ttdcea[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2A160pp	Phospholipase A2 phosphatidate n C160  periplasm 	h2o[p] + pa160[p] --> 1hdecg3p[p] + h[p] + hdca[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2A161pp	Phospholipase A2 phosphatidate n C161  periplasm 	h2o[p] + pa161[p] --> 1hdec9eg3p[p] + h[p] + hdcea[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2A180pp	Phospholipase A2 phosphatidate n C180  periplasm 	h2o[p] + pa180[p] --> 1odecg3p[p] + h[p] + ocdca[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2A181pp	Phospholipase A2 phosphatidate n C181  periplasm 	h2o[p] + pa181[p] --> 1odec11eg3p[p] + h[p] + ocdcea[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2E120pp	Phospholipase A2 phosphatidylethanolamine n C120  periplasm 	h2o[p] + pe120[p] --> 1agpe120[p] + ddca[p] + h[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2E140pp	Phospholipase A2 phosphatidylethanolamine n C140  periplasm 	h2o[p] + pe140[p] --> 1agpe140[p] + h[p] + ttdca[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2E141pp	Phospholipase A2 phosphatidylethanolamine n C141  periplasm 	h2o[p] + pe141[p] --> 1agpe141[p] + h[p] + ttdcea[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2E160pp	Phospholipase A2 phosphatidylethanolamine n C160  periplasm 	h2o[p] + pe160[p] --> 1agpe160[p] + h[p] + hdca[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2E161pp	Phospholipase A2 phosphatidylethanolamine n C161  periplasm 	h2o[p] + pe161[p] --> 1agpe161[p] + h[p] + hdcea[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2E180pp	Phospholipase A2 phosphatidylethanolamine n C180  periplasm 	h2o[p] + pe180[p] --> 1agpe180[p] + h[p] + ocdca[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2E181pp	Phospholipase A2 phosphatidylethanolamine n C181  periplasm 	h2o[p] + pe181[p] --> 1agpe181[p] + h[p] + ocdcea[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2G120pp	Phospholipase A2 phosphatidylglycerol n C120  periplasm 	h2o[p] + pg120[p] --> 1agpg120[p] + ddca[p] + h[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2G140pp	Phospholipase A2 phosphatidylglycerol n C140  periplasm 	h2o[p] + pg140[p] --> 1agpg140[p] + h[p] + ttdca[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2G141pp	Phospholipase A2 phosphatidylglycerol n C141  periplasm 	h2o[p] + pg141[p] --> 1agpg141[p] + h[p] + ttdcea[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2G160pp	Phospholipase A2 phosphatidylglycerol n C160  periplasm 	h2o[p] + pg160[p] --> 1agpg160[p] + h[p] + hdca[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2G161pp	Phospholipase A2 phosphatidylglycerol n C161  periplasm 	h2o[p] + pg161[p] --> 1agpg161[p] + h[p] + hdcea[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2G180pp	Phospholipase A2 phosphatidylglycerol n C180  periplasm 	h2o[p] + pg180[p] --> 1agpg180[p] + h[p] + ocdca[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PLIPA2G181pp	Phospholipase A2 phosphatidylglycerol n C181  periplasm 	h2o[p] + pg181[p] --> 1agpg181[p] + h[p] + ocdcea[p] 	STM3957	STM3957	Glycerophospholipid Metabolism	0	0	1000
PMANM	phosphomannomutase	man1p[c] <=> man6p[c] 	( STM2104 or STM2083 )	STM2083 STM2104	Alternate Carbon Metabolism	1	-1000	1000
PMDPHT	pyrimidine phosphatase	5aprbu[c] + h2o[c] --> 4r5au[c] + pi[c] 			Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PMPK	phosphomethylpyrimidine kinase	4ampm[c] + atp[c] --> 2mahmp[c] + adp[c] 	STM2146	STM2146	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PNTK	pantothenate kinase	atp[c] + pnto-R[c] --> 4ppan[c] + adp[c] + h[c] 	STM4139	STM4139	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PNTOt4pp	Pantothenate sodium symporter periplasm 	na1[p] + pnto-R[p] --> na1[c] + pnto-R[c] 	STM3382	STM3382	Transport Inner Membrane	0	0	1000
PNTOtex	Pantothenate transport via diffusion extracellular to periplasm 	pnto-R[e] <=> pnto-R[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
POX	pyruvate oxidase	h2o[c] + pyr[c] + q8[c] --> ac[c] + co2[c] + q8h2[c] 	STM0935	STM0935	Oxidative Phosphorylation	0	0	1000
PPA	inorganic diphosphatase	h2o[c] + ppi[c] --> h[c] + 2 pi[c] 	( STM4414  or  STM2502  or  STM2927 )	STM2502 STM2927 STM4414	Anaplerotic Reactions	0	0	1000
PPA2	inorganic triphosphatase	h2o[c] + pppi[c] --> h[c] + pi[c] + ppi[c] 	( STM2927  or  STM2502 )	STM2502 STM2927	Anaplerotic Reactions	0	0	1000
PPAKr	Propionate kinase	adp[c] + ppap[c] <=> atp[c] + ppa[c] 	( STM3242  or  STM2057 or STM2337 )	STM2057 STM2337 STM3242	Alternate Carbon Metabolism	1	-1000	1000
PPALtex	propanal transport via diffusion extracellular to periplasm 	ppal[e] <=> ppal[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
PPALtpp	propanal transport via channel periplasm 	ppal[c] <=> ppal[p] 			Transport Inner Membrane	1	-1000	1000
PPAt4pp	NaPropionate symporter periplasm 	na1[p] + ppa[p] --> na1[c] + ppa[c] 	STM1125	STM1125	Transport Inner Membrane	0	0	1000
PPAtex	propionate transport via diffusion	ppa[e] <=> ppa[p] 	( STM1473  or  STM0999  or  STM2267  or  STM0320 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
PPBNGS	porphobilinogen synthase	2 5aop[c] --> 2 h2o[c] + h[c] + ppbng[c] 	STM0372	STM0372	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PPC	phosphoenolpyruvate carboxylase	co2[c] + h2o[c] + pep[c] --> h[c] + oaa[c] + pi[c] 	STM4119	STM4119	Anaplerotic Reactions	0	0	1000
PPCDC	phosphopantothenoylcysteine decarboxylase	4ppcys[c] + h[c] --> co2[c] + pan4p[c] 	STM3730	STM3730	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PPCK	phosphoenolpyruvate carboxykinase	atp[c] + oaa[c] --> adp[c] + co2[c] + pep[c] 	STM3500	STM3500	Anaplerotic Reactions	0	0	1000
PPGPPDP	guanosine 3 5 bis diphosphate 3 diphosphatase	h2o[c] + ppgpp[c] --> gdp[c] + ppi[c] 	STM3742	STM3742	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PPK2r	polyphosphate kinase	atp[c] + ppi[c] <=> adp[c] + pppi[c] 	STM2501	STM2501	Oxidative Phosphorylation	1	-1000	1000
PPKr	polyphosphate kinase	atp[c] + pi[c] --> adp[c] + ppi[c] 	STM2501	STM2501	Oxidative Phosphorylation	0	0	1000
PPM	phosphopentomutase	r1p[c] <=> r5p[c] 	STM4569	STM4569	Alternate Carbon Metabolism	1	-1000	1000
PPM2	phosphopentomutase 2 deoxyribose 	2dr1p[c] <=> 2dr5p[c] 	STM4569	STM4569	Alternate Carbon Metabolism	1	-1000	1000
PPNCL2	phosphopantothenate cysteine ligase	4ppan[c] + ctp[c] + cys-L[c] --> 4ppcys[c] + cmp[c] + h[c] + ppi[c] 	STM3730	STM3730	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PPND	prephenate dehydrogenase	nad[c] + pphn[c] --> 34hpp[c] + co2[c] + nadh[c] 	STM2669	STM2669	Tyrosine Tryptophan and Phenylalanine Metabolism	0	0	1000
PPNDH	prephenate dehydratase	h[c] + pphn[c] --> co2[c] + h2o[c] + phpyr[c] 	STM2667	STM2667	Tyrosine Tryptophan and Phenylalanine Metabolism	0	0	1000
PPPGO	protoporphyrinogen oxidase aerobic 	1.5 o2[c] + pppg9[c] --> 3 h2o[c] + ppp9[c] 	STM3987	STM3987	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PPPGO3	protoporphyrinogen oxidase anaerobic 	3 fum[c] + pppg9[c] --> ppp9[c] + 3 succ[c] 	STM3987	STM3987	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PPPNt2rpp	3 phenylpropionate transport via proton symport reversible periplasm 	h[p] + pppn[p] <=> h[c] + pppn[c] 	STM2554	STM2554	Transport Inner Membrane	1	-1000	1000
PPPNtex	3 phenylpropionate transport via diffusion extracellular to periplasm 	pppn[e] <=> pppn[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
PPS	phosphoenolpyruvate synthase	atp[c] + h2o[c] + pyr[c] --> amp[c] + 2 h[c] + pep[c] + pi[c] 	STM1349	STM1349	GlycolysisGluconeogenesis	0	0	1000
PPTtex	Phosphonate transport via diffusion extracellular to periplasm 	ppt[e] <=> ppt[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
PRAGSr	phosphoribosylglycinamide synthase	atp[c] + gly[c] + pram[c] <=> adp[c] + gar[c] + h[c] + pi[c] 	STM4175	STM4175	Purine and Pyrimidine Biosynthesis	1	-1000	1000
PRAIi	phosphoribosylanthranilate isomerase irreversible 	pran[c] --> 2cpr5p[c] 	STM1725	STM1725	Tyrosine Tryptophan and Phenylalanine Metabolism	0	0	1000
PRAIS	phosphoribosylaminoimidazole synthase	atp[c] + fpram[c] --> adp[c] + air[c] + 2 h[c] + pi[c] 	STM2499.S	STM2499.S	Purine and Pyrimidine Biosynthesis	0	0	1000
PRAMPC	phosphoribosyl AMP cyclohydrolase	h2o[c] + prbamp[c] --> prfp[c] 	STM2078	STM2078	Histidine Metabolism	0	0	1000
PRASCSi	phosphoribosylaminoimidazolesuccinocarboxamide synthase	5aizc[c] + asp-L[c] + atp[c] --> 25aics[c] + adp[c] + h[c] + pi[c] 	STM2487	STM2487	Purine and Pyrimidine Biosynthesis	0	0	1000
PRATPP	phosphoribosyl ATP pyrophosphatase	h2o[c] + prbatp[c] --> h[c] + ppi[c] + prbamp[c] 	STM2078	STM2078	Histidine Metabolism	0	0	1000
PRFGS	phosphoribosylformylglycinamidine synthase	atp[c] + fgam[c] + gln-L[c] + h2o[c] --> adp[c] + fpram[c] + glu-L[c] + h[c] + pi[c] 	STM2565	STM2565	Purine and Pyrimidine Biosynthesis	0	0	1000
PRMICI	1 5 phosphoribosyl 5 5 phosphoribosylamino methylideneamino imidazole 4 carboxamide isomerase	prfp[c] <=> prlp[c] 	STM2076	STM2076	Histidine Metabolism	1	-1000	1000
PROabcpp	L proline transport via ABC system periplasm 	atp[c] + h2o[c] + pro-L[p] --> adp[c] + h[c] + pi[c] + pro-L[c] 	( STM2809  and  STM2810  and  STM2811 )	STM2809 STM2810 STM2811	Transport Inner Membrane	0	0	1000
PROD2	Proline dehydrogenase	fad[c] + pro-L[c] --> 1pyr5c[c] + fadh2[c] + h[c] 	STM1124	STM1124	Arginine and Proline Metabolism	0	0	1000
PROGLYabcpp	L Prolinylglycine Pro Gly transport via ABC system periplasm 	atp[c] + h2o[c] + progly[p] --> adp[c] + h[c] + pi[c] + progly[c] 	( STM3630  and  STM3629  and  STM3628  and  STM3627  and  STM3626 )	STM3626 STM3627 STM3628 STM3629 STM3630	Transport Inner Membrane	0	0	1000
PROGLYtex	L Prolinylglycine transport via diffusion extracellular to periplasm 	progly[e] <=> progly[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
PROLPPGT160	Glyceryl Transferase - murein	pg160[c] + prolpp[c] --> 2agpg160[c] + glyceryl-prolpp[c] 	STM3002	STM3002	Murein lpp biosynthesis	0	0	1000
PROLPPOATPE160	O-acyl Transferase - murein	pe160[c] + glyceryl-prolpp[c] --> 2agpe160[c] + diglyceride-prolpp[c] 			Murein lpp biosynthesis	0	0	1000
PROLPPOATPG160	O-acyl Transferase - murein	pg160[c] + glyceryl-prolpp[c] --> 2agpg160[c] + diglyceride-prolpp[c] 			Murein lpp biosynthesis	0	0	1000
PROt4pp	NaProline L symporter periplasm 	na1[p] + pro-L[p] --> na1[c] + pro-L[c] 	STM1125	STM1125	Transport Inner Membrane	0	0	1000
PROtex	L proline transport via diffusion extracellular to periplasm 	pro-L[e] <=> pro-L[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
PROTRS	Prolyl tRNA synthetase	atp[c] + pro-L[c] + trnapro[c] --> amp[c] + ppi[c] + protrna[c] 	STM0242	STM0242	tRNA Charging	0	0	1000
PRPPS	phosphoribosylpyrophosphate synthetase	atp[c] + r5p[c] --> amp[c] + h[c] + prpp[c] 	STM1780	STM1780	Histidine Metabolism	0	0	1000
ps2_ST	membrane phosphatidylserine composition based on http://www.biomedcentral.com/1752-0509/3/38	14 ps140[c] + 76 ps160[c] + 4 ps161[c] + 2 ps180[c] + 3 ps181[c] <=> 2 ps2-ST[p] 			Phospholipid Metabolism	1	-1000	1000
PSCLYStex	psicoselysine transporter via diffusion extracellular 	psclys[e] <=> psclys[p] 	( STM2267  or  STM1473  or  STM0320  or  STM0999 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
PSCVT	3 phosphoshikimate 1 carboxyvinyltransferase	pep[c] + skm5p[c] <=> 3psme[c] + pi[c] 	STM0978	STM0978	Tyrosine Tryptophan and Phenylalanine Metabolism	1	-1000	1000
PSD120	Phosphatidylserine decarboxylase n C120 	h[c] + ps120[c] --> co2[c] + pe120[c] 	STM4348	STM4348	Glycerophospholipid Metabolism	0	0	1000
PSD140	Phosphatidylserine decarboxylase n C140 	h[c] + ps140[c] --> co2[c] + pe140[c] 	STM4348	STM4348	Glycerophospholipid Metabolism	0	0	1000
PSD141	Phosphatidylserine decarboxylase n C141 	h[c] + ps141[c] --> co2[c] + pe141[c] 	STM4348	STM4348	Glycerophospholipid Metabolism	0	0	1000
PSD160	Phosphatidylserine decarboxylase n C160 	h[c] + ps160[c] --> co2[c] + pe160[c] 	STM4348	STM4348	Glycerophospholipid Metabolism	0	0	1000
PSD161	Phosphatidylserine decarboxylase n C161 	h[c] + ps161[c] --> co2[c] + pe161[c] 	STM4348	STM4348	Glycerophospholipid Metabolism	0	0	1000
PSD180	Phosphatidylserine decarboxylase n C180 	h[c] + ps180[c] --> co2[c] + pe180[c] 	STM4348	STM4348	Glycerophospholipid Metabolism	0	0	1000
PSD181	Phosphatidylserine decarboxylase n C181 	h[c] + ps181[c] --> co2[c] + pe181[c] 	STM4348	STM4348	Glycerophospholipid Metabolism	0	0	1000
PSERT	phosphoserine transaminase	3php[c] + glu-L[c] --> akg[c] + pser-L[c] 	STM0977	STM0977	Glycine and Serine Metabolism	0	0	1000
PSERtex	phospho L serine transport via diffusion extracellular to periplasm 	pser-L[e] <=> pser-L[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
PSP_L	phosphoserine phosphatase L serine 	h2o[c] + pser-L[c] --> pi[c] + ser-L[c] 	STM4578	STM4578	Glycine and Serine Metabolism	0	0	1000
PSP_Lpp	phospho L serine phosphatase periplasmic 	h2o[p] + pser-L[p] --> pi[p] + ser-L[p] 	STM4249	STM4249	Glycine and Serine Metabolism	0	0	1000
PSSA120	Phosphatidylserine syntase n C120 	cdpdddecg[c] + ser-L[c] --> cmp[c] + h[c] + ps120[c] 	STM2652	STM2652	Glycerophospholipid Metabolism	0	0	1000
PSSA140	Phosphatidylserine syntase n C140 	cdpdtdecg[c] + ser-L[c] --> cmp[c] + h[c] + ps140[c] 	STM2652	STM2652	Glycerophospholipid Metabolism	0	0	1000
PSSA141	Phosphatidylserine syntase n C141 	cdpdtdec7eg[c] + ser-L[c] --> cmp[c] + h[c] + ps141[c] 	STM2652	STM2652	Glycerophospholipid Metabolism	0	0	1000
PSSA160	Phosphatidylserine syntase n C160 	cdpdhdecg[c] + ser-L[c] --> cmp[c] + h[c] + ps160[c] 	STM2652	STM2652	Glycerophospholipid Metabolism	0	0	1000
PSSA161	Phosphatidylserine syntase n C161 	cdpdhdec9eg[c] + ser-L[c] --> cmp[c] + h[c] + ps161[c] 	STM2652	STM2652	Glycerophospholipid Metabolism	0	0	1000
PSSA180	Phosphatidylserine syntase n C180 	cdpdodecg[c] + ser-L[c] --> cmp[c] + h[c] + ps180[c] 	STM2652	STM2652	Glycerophospholipid Metabolism	0	0	1000
PSSA181	Phosphatidylserine syntase n C181 	cdpdodec11eg[c] + ser-L[c] --> cmp[c] + h[c] + ps181[c] 	STM2652	STM2652	Glycerophospholipid Metabolism	0	0	1000
PSUDS	Pseudouridylate synthase	2 h[c] + r5p[c] + ura[c] --> h2o[c] + psd5p[c] 	STM2662	STM2662	Translation	0	0	1000
PTA2	Phosphate acetyltransferase	pi[c] + ppcoa[c] --> coa[c] + ppap[c] 	( STM2338 ) or ( STM2047 )	STM2047 STM2338	Alternate Carbon Metabolism	0	0	1000
PTAr	phosphotransacetylase	accoa[c] + pi[c] <=> actp[c] + coa[c] 	( STM2338  or  STM2466 )	STM2338 STM2466	Pyruvate Metabolism	1	-1000	1000
PTHRpp	phospho L threonine phosphatase periplasmic 	h2o[p] + thrp[p] --> pi[p] + thr-L[p] 	STM4249	STM4249	Threonine and Lysine Metabolism	0	0	1000
PTPATi	pantetheine phosphate adenylyltransferase	atp[c] + h[c] + pan4p[c] --> dpcoa[c] + ppi[c] 	STM3725	STM3725	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PTRCabcpp	putrescine transport via ABC system periplasm 	atp[c] + h2o[c] + ptrc[p] --> adp[c] + h[c] + pi[c] + ptrc[c] 	( ( STM0877  and  STM0878  and  STM0879  and  STM0880 )  or  ( STM1226  and  STM1225  and  STM1223  and  STM1222 ) )	STM0877 STM0878 STM0879 STM0880 STM1222 STM1223 STM1225 STM1226	Transport Inner Membrane	0	0	1000
PTRCORNt7pp	putrescineornithine antiporter periplasm 	orn[c] + ptrc[p] <=> orn[p] + ptrc[c] 	STM0700	STM0700	Transport Inner Membrane	1	-1000	1000
PTRCt2pp	putrescine transport in via proton symport	h[p] + ptrc[p] <=> h[c] + ptrc[c] 	STM0700	STM0700	Transport Inner Membrane	1	0	1000
PTRCTA	Putrescine Transaminase	akg[c] + ptrc[c] --> 4abutn[c] + glu-L[c] 	STM3218	STM3218	Arginine and Proline Metabolism	0	0	1000
PTRCtex	putrescine transport via diffusion extracellular to periplasm 	ptrc[e] <=> ptrc[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
PUNP1	purine nucleoside phosphorylase Adenosine 	adn[c] + pi[c] <=> ade[c] + r1p[c] 	STM4570	STM4570	Nucleotide Salvage Pathway	1	-1000	1000
PUNP2	purine nucleoside phosphorylase Deoxyadenosine 	dad-2[c] + pi[c] <=> 2dr1p[c] + ade[c] 	STM4570	STM4570	Nucleotide Salvage Pathway	1	-1000	1000
PUNP3	purine nucleoside phosphorylase Guanosine 	gsn[c] + pi[c] <=> gua[c] + r1p[c] 	( STM4570 )	STM4570	Nucleotide Salvage Pathway	1	-1000	1000
PUNP4	purine nucleoside phosphorylase Deoxyguanosine 	dgsn[c] + pi[c] <=> 2dr1p[c] + gua[c] 	( STM2422  or  STM4570 )	STM2422 STM4570	Nucleotide Salvage Pathway	1	-1000	1000
PUNP5	purine nucleoside phosphorylase Inosine 	ins[c] + pi[c] <=> hxan[c] + r1p[c] 	( STM4570 )	STM4570	Nucleotide Salvage Pathway	1	-1000	1000
PUNP6	purine nucleoside phosphorylase Deoxyinosine 	din[c] + pi[c] <=> 2dr1p[c] + hxan[c] 	( STM4570 )	STM4570	Nucleotide Salvage Pathway	1	-1000	1000
PUNP7	purine nucleoside phosphorylase Xanthosine 	pi[c] + xtsn[c] <=> r1p[c] + xan[c] 	STM2422	STM2422	Nucleotide Salvage Pathway	1	-1000	1000
PYAM5PO	pyridoxamine 5 phosphate oxidase	h2o[c] + o2[c] + pyam5p[c] --> h2o2[c] + nh4[c] + pydx5p[c] 	STM1448	STM1448	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PYDAMK	pyridoxamine kinase	atp[c] + pydam[c] --> adp[c] + h[c] + pyam5p[c] 	STM2435	STM2435	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PYDXK	pyridoxal kinase	atp[c] + pydx[c] --> adp[c] + h[c] + pydx5p[c] 	( STM2435  or  STM1450 )	STM1450 STM2435	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PYDXNK	pyridoxine kinase	atp[c] + pydxn[c] --> adp[c] + h[c] + pdx5p[c] 	STM2435	STM2435	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PYDXNtex	Pyrdoxine transport	pydxn[e] --> pydxn[p] 			Transport	0	0	1000
PYDXNtpp	Pyrdoxine transport	pydxn[p] --> pydxn[c] 			Transport, Inner Membrane	0	0	1000
PYDXPP	Pyridoxal 5 phosphate phosphatase	h2o[c] + pydx5p[c] --> pi[c] + pydx[c] 			Cofactor and Prosthetic Group Biosynthesis	0	0	1000
PYDXtex	Pyridoxal transport	pydx[e] --> pydx[p] 			Transport	0	0	1000
PYDXtpp	Pyridoxal transport	pydx[p] --> pydx[c] 			Transport, Inner Membrane	0	0	1000
PYK	pyruvate kinase	adp[c] + h[c] + pep[c] --> atp[c] + pyr[c] 	( STM1888  or  STM1378 )	STM1378 STM1888	GlycolysisGluconeogenesis	0	0	1000
PYNP2r	pyrimidine nucleoside phosphorylase uracil 	pi[c] + uri[c] <=> r1p[c] + ura[c] 	STM3968	STM3968	Nucleotide Salvage Pathway	1	-1000	1000
PYRt2rpp	pyruvate reversible transport via proton symport periplasm 	h[p] + pyr[p] <=> h[c] + pyr[c] 			Transport Inner Membrane	1	-1000	1000
PYRtex	pyruvate transport via diffusion extracellular to periplasm 	pyr[e] <=> pyr[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
QMO2	quinol monooxygenase Ubiquinol 8 	2 o2[c] + q8h2[c] --> 2 h[c] + 2 o2s[c] + q8[c] 	STM3180	STM3180	Oxidative Phosphorylation	0	0	1000
QMO3	quinol monooxygenase menaquinol 8 	mql8[c] + 2 o2[c] --> 2 h[c] + mqn8[c] + 2 o2s[c] 	STM3180	STM3180	Oxidative Phosphorylation	0	0	1000
QULNS	quinolinate synthase	dhap[c] + iasp[c] --> 2 h2o[c] + pi[c] + quln[c] 	STM0756	STM0756	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
R5PP	ribose 5 phosphate phosphatase	h2o[c] + r5p[c] --> pi[c] + rib-D[c] 	( STM0840 or STM0842 )	STM0840 STM0842	Alternate Carbon Metabolism	0	0	1000
R5PPpp	ribose 5 phosphate phosphatase	h2o[p] + r5p[p] --> pi[p] + rib-D[p] 	STM4249	STM4249	Alternate Carbon Metabolism	0	0	1000
R5Ptex	Ribose 5 phosphate transport via diffusion extracellular to periplasm 	r5p[e] <=> r5p[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
RBFK	riboflavin kinase	atp[c] + ribflv[c] --> adp[c] + fmn[c] + h[c] 	STM0045	STM0045	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
RBFSa	riboflavin synthase	4r5au[c] + db4p[c] --> dmlz[c] + 2 h2o[c] + pi[c] 	STM1426	STM1426	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
RBFSb	riboflavin synthase	2 dmlz[c] --> 4r5au[c] + ribflv[c] 	STM0417	STM0417	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
RBK	ribokinase	atp[c] + rib-D[c] --> adp[c] + h[c] + r5p[c] 	( STM3885 or STM3793 )	STM3793 STM3885	Alternate Carbon Metabolism	0	0	1000
RBK_L1	L ribulokinase L ribulose 	atp[c] + rbl-L[c] --> adp[c] + h[c] + ru5p-L[c] 	STM0103	STM0103	Alternate Carbon Metabolism	0	0	1000
RBP4E	L ribulose phosphate 4 epimerase	ru5p-L[c] <=> xu5p-D[c] 	( STM0101  or  STM4388  or  STM3677 )	STM0101 STM3677 STM4388	Alternate Carbon Metabolism	1	-1000	1000
